k_T,lam_T,k_C,lam_C,p_cen_target,n,div_hazard_mean,div_hazard_ci_low,div_hazard_ci_high,div_hazard_reject,div_IPCW_mean,div_IPCW_ci_low,div_IPCW_ci_high,div_IPCW_reject,sqrtmse_k_hazard,sqrtmse_k_IPCW,sqrtmse_lam_hazard,sqrtmse_lam_IPCW,score_gap_true_mean,score_gap_true_ci_low,score_gap_true_ci_high
0.75,2,0.75,12.699208,0.2,50,0.046515957,0.039111052,0.054404566,0,0.093935898,0.073921953,0.11736971,0,0.15512561,0.17403367,0.67619452,0.80976683,nan,nan,nan
0.75,2,0.75,12.699208,0.2,100,0.022205911,0.01899509,0.025345691,0,0.049945105,0.039877568,0.062179531,0,0.098940982,0.11317785,0.44859563,0.5392908,nan,nan,nan
0.75,2,0.75,12.699208,0.2,200,0.010523349,0.0089315659,0.012219486,0,0.020445301,0.01687563,0.024135921,0,0.070312671,0.084159113,0.30238054,0.36999466,nan,nan,nan
0.75,2,0.75,12.699208,0.2,500,0.0036816547,0.0031112666,0.0042559922,0,0.0076635394,0.0063163923,0.0090245028,0,0.039886813,0.048420905,0.17981645,0.23683246,nan,nan,nan
0.75,2,0.75,12.699208,0.2,1000,0.002014031,0.0017005905,0.0023397364,0,0.0045534639,0.0037418607,0.0054323473,0,0.03032232,0.037451989,0.13677867,0.17464375,nan,nan,nan
0.75,2,0.75,12.699208,0.2,5000,0.00039264862,0.00033212215,0.00045660804,0,0.00086350244,0.0007117825,0.0010231542,0,0.012541419,0.015932938,0.06127254,0.078034188,nan,nan,nan
0.75,2,0.75,12.699208,0.2,20000,0.00010743081,9.2377357e-05,0.00012245333,0,0.00023098311,0.00019423722,0.00026907445,0,0.0064053675,0.0082557433,0.031519092,0.039221558,nan,nan,nan
0.75,2,0.75,3.4341427,0.4,50,0.051599481,0.042956207,0.060731194,0,0.72402894,0.2725836,1.5558765,0,0.19172989,0.29482506,0.94991652,1.5145311,nan,nan,nan
0.75,2,0.75,3.4341427,0.4,100,0.019601169,0.016559391,0.022807116,0,0.11386058,0.083329746,0.14990798,0,0.11708587,0.17351277,0.54110275,0.84728486,nan,nan,nan
0.75,2,0.75,3.4341427,0.4,200,0.0093111488,0.0079085501,0.010767239,0,0.067943258,0.049937706,0.08826756,0,0.075272641,0.11695111,0.33451564,0.99748944,nan,nan,nan
0.75,2,0.75,3.4341427,0.4,500,0.0041211136,0.0034990187,0.0047900377,0,0.029805599,0.020612713,0.04143136,0,0.047804394,0.080195651,0.22161913,0.53707826,nan,nan,nan
0.75,2,0.75,3.4341427,0.4,1000,0.0021779166,0.0018631593,0.0025104148,0,0.013438436,0.0093048729,0.017356551,0,0.034981449,0.061404333,0.16394735,0.33675891,nan,nan,nan
0.75,2,0.75,3.4341427,0.4,5000,0.0003679735,0.00031055545,0.00042833077,0,0.0040425495,0.0029947854,0.0051470819,0,0.014502728,0.03413776,0.068159142,0.16939383,nan,nan,nan
0.75,2,0.75,3.4341427,0.4,20000,0.0001076176,9.1148046e-05,0.00012382855,0,0.0013185426,0.00092951171,0.0017307285,0,0.0078963605,0.021870734,0.036044984,0.091749324,nan,nan,nan
0.75,2,0.75,1.164774,0.6,50,0.054962228,0.044558482,0.066639212,0,1.4953411,0.85325118,2.4585826,0,0.23390736,0.54772589,1.697072,1.3048216,nan,nan,nan
0.75,2,0.75,1.164774,0.6,100,0.023251501,0.019296266,0.027301982,0,0.57602177,0.33951815,0.87431269,0,0.15048388,0.36583809,0.78366278,1.2360679,nan,nan,nan
0.75,2,0.75,1.164774,0.6,200,0.010124858,0.0086167412,0.011632892,0,0.54417919,0.25291125,0.94629773,0,0.098094117,0.33625167,0.51445666,1.387566,nan,nan,nan
0.75,2,0.75,1.164774,0.6,500,0.0040468771,0.0034089708,0.004716974,0,0.1213125,0.059065182,0.21517216,0,0.059901528,0.15746845,0.29577055,0.88335306,nan,nan,nan
0.75,2,0.75,1.164774,0.6,1000,0.0019464746,0.0016397578,0.0022591589,0,0.1249205,0.054553668,0.23371435,0,0.040044809,0.13178286,0.19856188,1.0658624,nan,nan,nan
0.75,2,0.75,1.164774,0.6,5000,0.00049826356,0.00043882091,0.00056155886,0,0.024750776,0.017844023,0.032861503,0,0.018660831,0.073740202,0.094337383,0.78620466,nan,nan,nan
0.75,2,0.75,1.164774,0.6,20000,0.00010619174,9.0182936e-05,0.00012232736,0,0.018547176,0.012524712,0.025660503,0,0.0094579034,0.053212789,0.046106647,0.93397646,nan,nan,nan
1,2,1,8,0.2,50,0.050488636,0.042338771,0.059676967,0,0.089045306,0.070387057,0.11276579,0,0.19949865,0.22255608,0.46415581,0.57133973,nan,nan,nan
1,2,1,8,0.2,100,0.022505749,0.019051934,0.026173846,0,0.042898998,0.035917085,0.050319056,0,0.12500149,0.14385186,0.33081128,0.42285535,nan,nan,nan
1,2,1,8,0.2,200,0.011136199,0.0093636855,0.013076874,0,0.023557898,0.019424581,0.027937358,0,0.092764793,0.1081776,0.2289611,0.2895287,nan,nan,nan
1,2,1,8,0.2,500,0.0042417351,0.0035484534,0.0049321189,0,0.008743731,0.0072883364,0.010244678,0,0.056653384,0.069716022,0.14462498,0.18180448,nan,nan,nan
1,2,1,8,0.2,1000,0.0021758271,0.0018673705,0.0024998603,0,0.0044889195,0.0037452059,0.0053026089,0,0.036532555,0.045118095,0.1098331,0.13560653,nan,nan,nan
1,2,1,8,0.2,5000,0.00038629287,0.00033094573,0.00044346948,0,0.00082374531,0.00068103651,0.0009781995,0,0.016539114,0.021044475,0.04574193,0.058122886,nan,nan,nan
1,2,1,8,0.2,20000,0.00010582657,9.0553978e-05,0.00012190983,0,0.00022543784,0.00018720133,0.00026557752,0,0.0090047298,0.011250348,0.022618158,0.028780715,nan,nan,nan
1,2,1,3,0.4,50,0.051000323,0.04254737,0.05987799,0,0.35104974,0.22029557,0.54403847,0,0.26151292,0.41784201,0.6098764,0.89469076,nan,nan,nan
1,2,1,3,0.4,100,0.022002451,0.018945386,0.025158142,0,0.096735749,0.073826096,0.12143022,0,0.15865159,0.23770654,0.38957601,0.68090504,nan,nan,nan
1,2,1,3,0.4,200,0.0095354472,0.0080622436,0.011015234,0,0.06920829,0.046759297,0.097743162,0,0.10032884,0.15803156,0.26353371,0.48905329,nan,nan,nan
1,2,1,3,0.4,500,0.0037708007,0.0032167304,0.0043782583,0,0.034285867,0.021125469,0.056408847,0,0.065356684,0.1058774,0.16918193,0.36235821,nan,nan,nan
1,2,1,3,0.4,1000,0.0021482297,0.0018486027,0.0024444751,0,0.011616583,0.0018772744,0.018098158,0,0.044457762,0.078261173,0.11789378,0.2953526,nan,nan,nan
1,2,1,3,0.4,5000,0.00041157301,0.0003567035,0.00046956529,0,0.0059627393,0.0044510696,0.0077962353,0,0.020213641,0.046625481,0.050462658,0.15242005,nan,nan,nan
1,2,1,3,0.4,20000,0.00010640383,9.0195642e-05,0.00012275958,0,0.0015399284,0.0012058268,0.0018786036,0,0.010460676,0.02725401,0.026026675,0.065350868,nan,nan,nan
1,2,1,1.3333333,0.6,50,0.046730454,0.038765514,0.055223375,0,1.3012478,0.8330396,1.8541297,0,0.30224315,0.79571339,1.0249253,1.065941,nan,nan,nan
1,2,1,1.3333333,0.6,100,0.024995259,0.021058001,0.02903357,0,0.64586107,0.47313815,0.84277584,0,0.20375027,0.45702731,0.5829616,0.89867914,nan,nan,nan
1,2,1,1.3333333,0.6,200,0.010881276,0.009305225,0.012595339,0,0.34692737,0.17696012,0.61846319,0,0.13695149,0.36711741,0.34735619,0.88485442,nan,nan,nan
1,2,1,1.3333333,0.6,500,0.003893154,0.0033023582,0.004471219,0,0.085016281,0.053763434,0.1226111,0,0.080534155,0.22183043,0.21719547,0.7004226,nan,nan,nan
1,2,1,1.3333333,0.6,1000,0.0023060937,0.0019575991,0.0026820543,0,0.08021836,-0.037602328,0.19441257,0,0.058128333,0.18021918,0.15479639,0.77926403,nan,nan,nan
1,2,1,1.3333333,0.6,5000,0.00042789902,0.00036796619,0.00049133602,0,0.045004286,0.022003947,0.077362192,0,0.025949322,0.14928106,0.065847627,0.66182719,nan,nan,nan
1,2,1,1.3333333,0.6,20000,0.00010520084,8.9911443e-05,0.00012095606,0,0.0122812,0.0081772813,0.016810428,0,0.012126053,0.070389086,0.035090331,0.3961702,nan,nan,nan
2.5,2,2.5,3.4822023,0.2,50,0.05974565,0.050579206,0.069457455,0,0.14112252,0.10645369,0.18399719,0,0.5513683,0.64115274,0.18092337,0.22094415,nan,nan,nan
2.5,2,2.5,3.4822023,0.2,100,0.02371474,0.019726817,0.02786166,0,0.045465753,0.03732772,0.053886869,0,0.35453551,0.40588188,0.12399226,0.15385072,nan,nan,nan
2.5,2,2.5,3.4822023,0.2,200,0.011570712,0.0097286663,0.013381495,0,0.02018885,0.01696405,0.023513949,0,0.23231202,0.27188057,0.093666171,0.11410394,nan,nan,nan
2.5,2,2.5,3.4822023,0.2,500,0.0041100608,0.0035198256,0.0047501463,0,0.0079224716,0.0065409409,0.009399643,0,0.1464655,0.17391771,0.053461488,0.069585929,nan,nan,nan
2.5,2,2.5,3.4822023,0.2,1000,0.001996048,0.0016741944,0.0023287643,0,0.0040361331,0.003370116,0.0047464203,0,0.10070786,0.12107645,0.041108589,0.051900738,nan,nan,nan
2.5,2,2.5,3.4822023,0.2,5000,0.00038978358,0.00032778584,0.00045114724,0,0.00095227128,0.00078923923,0.0011185858,0,0.044766135,0.055048951,0.018015719,0.022522361,nan,nan,nan
2.5,2,2.5,3.4822023,0.2,20000,9.6765558e-05,8.1204332e-05,0.0001124395,0,0.00021481228,0.0001796813,0.00025056568,0,0.021001767,0.027920932,0.0098526354,0.012016658,nan,nan,nan
2.5,2,2.5,2.352158,0.4,50,0.054365162,0.045210194,0.06413105,0,0.2823295,0.20635044,0.37199474,0,0.64518122,0.97881765,0.2035836,0.32203611,nan,nan,nan
2.5,2,2.5,2.352158,0.4,100,0.021776007,0.018308241,0.025402472,0,0.11230964,0.087672597,0.13853416,0,0.40048294,0.58662872,0.15085827,0.26383904,nan,nan,nan
2.5,2,2.5,2.352158,0.4,200,0.011062215,0.0095594113,0.012551319,0,0.06909722,0.053991608,0.085144215,0,0.25766889,0.40604709,0.10340271,0.20718843,nan,nan,nan
2.5,2,2.5,2.352158,0.4,500,0.0038651926,0.0032672809,0.0044739165,0,0.029706047,0.021931597,0.038739912,0,0.16257578,0.26277732,0.065776046,0.12472603,nan,nan,nan
2.5,2,2.5,2.352158,0.4,1000,0.0021062704,0.0017886378,0.00243861,0,0.019405059,0.014622742,0.024656417,0,0.11000618,0.20053431,0.046827219,0.12205539,nan,nan,nan
2.5,2,2.5,2.352158,0.4,5000,0.00047412498,0.0004086101,0.00054095327,0,0.00568151,0.0045022367,0.0070432005,0,0.051009738,0.11912515,0.021039174,0.056669348,nan,nan,nan
2.5,2,2.5,2.352158,0.4,20000,9.4379735e-05,7.9616801e-05,0.00010962021,0,0.0013806639,0.0010703734,0.0017001925,0,0.025586675,0.069174868,0.010200848,0.025155287,nan,nan,nan
2.5,2,2.5,1.700566,0.6,50,0.054316079,0.045126107,0.063435584,0,1.1906424,0.68266473,1.8297172,0,0.88732206,2.0115628,0.36211916,0.4502053,nan,nan,nan
2.5,2,2.5,1.700566,0.6,100,0.020162652,0.016814756,0.023730455,0,0.36121651,0.25191303,0.48986988,0,0.4824633,1.3666701,0.20188317,0.40254169,nan,nan,nan
2.5,2,2.5,1.700566,0.6,200,0.010946045,0.0092264527,0.012782951,0,0.2264126,0.14917394,0.31589699,0,0.35728785,1.1069137,0.14966752,0.33352034,nan,nan,nan
2.5,2,2.5,1.700566,0.6,500,0.0042902276,0.0037180875,0.0048812503,0,0.11612223,0.070640616,0.17497562,0,0.20755342,0.65500215,0.090579717,0.26248789,nan,nan,nan
2.5,2,2.5,1.700566,0.6,1000,0.0019613239,0.0016631854,0.0022692395,0,0.099945606,0.055528606,0.16197746,0,0.13861943,0.38677941,0.063208095,0.19759809,nan,nan,nan
2.5,2,2.5,1.700566,0.6,5000,0.00040391188,0.00034447967,0.00046637275,0,0.035630867,0.018486295,0.062439256,0,0.064393091,0.24954163,0.026241211,0.15575412,nan,nan,nan
2.5,2,2.5,1.700566,0.6,20000,0.00010652752,9.0343482e-05,0.00012291669,0,0.028455431,0.010723294,0.059972108,0,0.031561009,0.36375407,0.013794578,0.15588883,nan,nan,nan
